Model,Dataset,num_layers,L2,Emb_size,HR@5,HR@10,HR@20,HR@50,NDCG@5,NDCG@10,NDCG@20,NDCG@50
SASRec,Amazon_Electronics,2,1e-4,64,0.5028,0.6254,0.7484,0.9081,0.3802,0.4199,0.4511,0.4828
SASRec,Amazon_Electronics,2,1e-4,128,0.5028,0.6244,0.7471,0.9077,0.3798,0.4192,0.4502,0.4822
SASRec,Amazon_Electronics,2,1e-4,256,0.5021,0.6242,0.7440,0.9050,0.3793,0.4188,0.4491,0.4811
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-6,32,0.4194,0.5291,0.6550,0.8402,0.3249,0.3603,0.3921,0.4288
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-6,64,0.4251,0.5325,0.6546,0.8379,0.3316,0.3662,0.3970,0.4334
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-6,128,0.4294,0.5377,0.6591,0.8387,0.3356,0.3706,0.4012,0.4369
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-6,256,0.4280,0.5357,0.6577,0.8389,0.3360,0.3708,0.4016,0.4375
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-6,32,0.4264,0.5382,0.6629,0.8439,0.3297,0.3658,0.3973,0.4332
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-6,64,0.4278,0.5362,0.6583,0.8386,0.3330,0.3680,0.3988,0.4346
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-6,128,0.4317,0.5403,0.6625,0.8406,0.3371,0.3721,0.4030,0.4383
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-6,256,0.4365,0.5451,0.6667,0.8444,0.3419,0.3770,0.4077,0.4430
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-5,32,0.4249,0.5356,0.6607,0.8451,0.3289,0.3647,0.3962,0.4328
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-5,64,0.4307,0.5380,0.6607,0.8429,0.3357,0.3703,0.4013,0.4375
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-5,128,0.4349,0.5442,0.6659,0.8446,0.3393,0.3746,0.4053,0.4408
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-5,256,0.4344,0.5430,0.6644,0.8467,0.3407,0.3758,0.4064,0.4426
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-5,32,0.4299,0.5427,0.6660,0.8490,0.3317,0.3681,0.3992,0.4355
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-5,64,0.4336,0.5435,0.6653,0.8455,0.3371,0.3726,0.4033,0.4391
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-5,128,0.4378,0.5463,0.6685,0.8485,0.3426,0.3776,0.4084,0.4441
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-5,256,0.4406,0.5492,0.6726,0.8514,0.3459,0.3810,0.4122,0.4476
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-4,32,0.4586,0.5738,0.6951,0.8709,0.3547,0.3919,0.4226,0.4575
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-4,64,0.4563,0.5680,0.6887,0.8660,0.3534,0.3895,0.4200,0.4551
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-4,128,0.4577,0.5705,0.6936,0.8661,0.3559,0.3924,0.4235,0.4577
SASRec,Grocery_and_Gourmet_Food_1m,1,1e-4,256,0.4569,0.5671,0.6876,0.8640,0.3562,0.3918,0.4222,0.4572
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-4,32,0.4530,0.5689,0.6937,0.8702,0.3489,0.3863,0.4178,0.4529
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-4,64,0.4604,0.5740,0.6967,0.8708,0.3561,0.3928,0.4238,0.4584
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-4,128,0.4644,0.5765,0.6965,0.8715,0.3603,0.3966,0.4269,0.4616
SASRec,Grocery_and_Gourmet_Food_1m,2,1e-4,256,0.4639,0.5771,0.7002,0.8722,0.3601,0.3966,0.4277,0.4619
